A;Landbouw, bosbouw en visserij;
;;
01 ;Landbouw, jacht en dienstverlening voor de landbouw en jacht ;
;;
01.1;Teelt van eenjarige gewassen;
01.11;Teelt van granen, peulvruchten en oliehoudende zaden;
01.13;Teelt van groenten en wortel- en knolgewassen;
01.16;Teelt van vezelgewassen;
01.19;Teelt van overige eenjarige gewassen;
;;
01.2;Teelt van meerjarige gewassen;
01.21;Druiventeelt;
01.24;Teelt van hardfruit en steenvruchten;
01.25;Teelt van overige boomvruchten, kleinfruit en noten;
01.27;Teelt van gewassen bestemd voor de vervaardiging van dranken;
01.28;Teelt van specerijgewassen en van aromatische en medicinale gewassen;
01.29;Teelt van overige  meerjarige gewassen;
;;
01.3 ;Teelt van sierplanten;
01.30;Teelt van sierplanten;
;;
01.4;Fokken en houden van dieren;
01.41;Fokken en houden van melkvee;
01.42;Fokken en houden van runderen (geen melkvee);
01.43;Fokken en houden van paarden en ezels;
01.45;Fokken en houden van schapen en geiten;
01.46;Fokken en houden van varkens;
01.47;Fokken en houden van pluimvee;
01.49;Fokken en houden van overige dieren;
;;
01.5 ;Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ;
01.50;Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ;
;;
01.6;"Dienstverlening voor de landbouw; behandeling van gewassen en zaden na de oogst";
01.61;Dienstverlening voor de akker- en/of tuinbouw ;
01.62;Dienstverlening voor het fokken en houden van dieren ;
01.63;Behandeling van  gewassen na de oogst;
01.64;Behandeling van zaden voor vermeerdering;
;;
01.7;Jacht;
01.70;Jacht;
;;
;;
2;Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw;
;;
02.1;Bosbouw;
02.10;Bosbouw;
;;
02.2;Exploitatie van bossen;
02.20;Exploitatie van bossen;
;;
02.4;Dienstverlening voor de bosbouw;
02.40;Dienstverlening voor de bosbouw;
;;
03 ;Visserij en kweken van vis en schaaldieren ;
;;
03.1 ;Visserij;
03.11;Zee- en kustvisserij;
03.12;Binnenvisserij;
;;
03.2 ;Kweken van vis en schaaldieren ;
03.21;Kweken van zeevis en -schaaldieren;
03.22;Kweken van zoetwatervis en -schaaldieren;
;;
;;
B;Winning van delfstoffen ;
;;
6;Winning van aardolie en aardgas;
;;
06.1;Winning van aardolie;
06.10;Winning van aardolie;
;;
06.2;Winning van aardgas;
06.20;Winning van aardgas;
;;
;;
8;Winning van delfstoffen (geen olie en gas);
;;
08.1;Winning van zand, grind en klei;
08.12;Winning van zand, grind en klei;
;;
08.9 ;Winning van overige delfstoffen;
08.92;Winning van turf ;
08.93;Winning van zout;
08.99;Winning van overige delfstoffen (rest);
;;
;;
9;Dienstverlening voor de winning van delfstoffen ;
;;
09.1;Dienstverlening voor de winning van aardolie en aardgas;
09.10;Dienstverlening voor de winning van aardolie en aardgas;
;;
09.9 ;Dienstverlening voor de winning van delfstoffen (geen olie en gas);
09.90;Dienstverlening voor de winning van delfstoffen (geen olie en gas);
;;
;;
C;Industrie;
;;
10;Vervaardiging van voedingsmiddelen;
;;
10.1 ;Slachterijen en vleesverwerking;
10.11;Slachterijen (geen pluimvee-);
10.12;Pluimveeslachterijen;
10.13;Vleesverwerking (niet tot maaltijden);
;;
10.2;Visverwerking;
10.20;Visverwerking;
;;
10.3;Verwerking van aardappels, groente en fruit;
10.31;Vervaardiging van aardappelproducten;
10.32;Vervaardiging van fruit- en groentesap;
10.39;Verwerking van groente en fruit (niet tot sap en maaltijden);
;;
10.4;Vervaardiging van plantaardige en dierlijke oliën en vetten ;
10.41;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten);
10.42;Vervaardiging van margarine en overige spijsvetten;
;;
10.5 ;Vervaardiging van zuivelproducten;
10.51;Vervaardiging van zuivelproducten (geen consumptie-ijs);
10.52;Vervaardiging van consumptie-ijs;
;;
10.6;Vervaardiging van meel;
10.61;Vervaardiging van meel (geen zetmeel);
10.62;Vervaardiging van zetmeel en zetmeelproducten;
;;
10.7;Vervaardiging van brood, banketbakkerswerk en deegwaren;
10.71;Vervaardiging van brood en vers banketbakkerswerk;
10.72;Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk;
10.73;Vervaardiging van deegwaren;
;;
10.8 ;Vervaardiging van overige voedingsmiddelen;
10.81;Vervaardiging van suiker;
10.82;Verwerking van cacao en vervaardiging van chocolade en suikerwerk;
10.82.1;Verwerking van cacao;
10.82.2;Vervaardiging van chocolade en suikerwerk;
10.83;Verwerking van koffie en thee;
10.84;"Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage";
10.85;Vervaardiging van kant-en-klaarmaaltijden en snacks;
10.86;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;
10.89;Vervaardiging van overige voedingsmiddelen (rest);
;;
10.9;Vervaardiging van diervoeders;
10.91;Vervaardiging van veevoeders;
10.92;Vervaardiging van voeders voor huisdieren;
;;
;;
11 ;Vervaardiging van dranken;
;;
11.0;Vervaardiging van dranken;
11.01;Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen;
11.02;Vervaardiging van wijn uit druiven;
11.03;Vervaardiging van cider en van overige vruchtenwijnen;
11.04;Vervaardiging van overige niet-gedistilleerde gegiste dranken;
11.05;Vervaardiging van bier;
11.06;Mouterijen;
11.07;"Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water";
;;
;;
12;Vervaardiging van tabaksproducten;
;;
12.0 ;Vervaardiging van tabaksproducten;
12.00;Vervaardiging van tabaksproducten;
;;
;;
13 ;Vervaardiging van textiel;
;;
13.1;Bewerken en spinnen van textielvezels;
13.10;Bewerken en spinnen van textielvezels;
;;
13.2;Weven van textiel;
13.20;Weven van textiel;
;;
13.3;Textielveredeling;
13.30;Textielveredeling;
;;
13.9;Vervaardiging van overige  textielproducten;
13.91;Vervaardiging van gebreide en gehaakte stoffen;
13.92;Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding);
13.93;Vervaardiging van vloerkleden en tapijt;
13.94;Vervaardiging van koord, bindgaren, touw en netten;
13.95;Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding);
13.96;Vervaardiging van technisch en industrieel textiel;
13.99;Vervaardiging van overige  textielproducten (rest);
;;
;;
14 ;Vervaardiging van kleding;
;;
14.1;Vervaardiging van kleding (geen bontkleding);
14.11;Vervaardiging van kleding van leer;
14.12;Vervaardiging van werkkleding;
14.13;Vervaardiging van overige  bovenkleding;
14.14;Vervaardiging van onderkleding;
14.19;Vervaardiging van baby- en sportkleding en kledingaccessoires;
;;
14.2;Vervaardiging van artikelen van bont;
14.20;Vervaardiging van artikelen van bont;
;;
14.3;Vervaardiging van gebreide en gehaakte kleding;
14.31;Vervaardiging van gebreide en gehaakte kousen en sokken;
14.39;Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken);
;;
;;
15;Vervaardiging van leer, lederwaren en schoenen;
;;
15.1;"Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden en verven van bont";
15.11;"Looien en bewerken van leer; bereiden en verven van bont";
15.12;Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk;
;;
15.2;Vervaardiging van schoenen;
15.20;Vervaardiging van schoenen;
;;
;;
16;Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk ( geen meubels) ;
;;
16.1;Primaire houtbewerking en verduurzamen van hout;
16.10;Primaire houtbewerking en verduurzamen van hout;
16.10.1;Zagen en schaven en overige primaire houtbewerking;
16.10.2;Verduurzamen van hout;
;;
16.2;Vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels);
16.21;Vervaardiging van fineer en plaatmateriaal op basis van hout;
16.22;Vervaardiging van panelen voor parketvloeren;
16.23;Vervaardiging van overig  timmerwerk voor de bouw ;
16.23.1;Vervaardiging van deuren, ramen en kozijnen van hout;
16.23.9;Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen);
16.24;Vervaardiging van houten emballage;
16.29;Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels);
 ;;
;;
17;Vervaardiging van papier, karton en papier- en kartonwaren ;
;;
17.1;Vervaardiging van papierpulp, papier en karton;
17.11;Vervaardiging van papierpulp;
17.12;Vervaardiging van papier en karton;
17.12.1;Vervaardiging van grafisch papier en karton;
17.12.2;Vervaardiging van papier en karton voor verpakking;
17.12.9;Vervaardiging van papier en karton (geen grafisch en niet voor verpakking);
;;
17.2;Vervaardiging van papier- en kartonwaren;
17.21;"Vervaardiging van verpakkingsmiddelen van papier en karton; vervaardiging van golfpapier en -karton";
17.21.1;Vervaardiging van verpakkingsmiddelen van papier en karton;
17.21.2;Vervaardiging van golfpapier en -karton;
17.22;Vervaardiging van huishoudelijke en sanitaire papierwaren;
17.23;Vervaardiging van kantoorbenodigdheden van papier;
17.24;Vervaardiging van behangselpapier;
17.29;Vervaardiging van overige papier- en kartonwaren ;
;;
;;
18;Drukkerijen, reproductie van opgenomen media;
;;
18.1;Drukkerijen en dienstverlening voor drukkerijen;
18.11;Drukkerijen van dagbladen;
18.12;Overige drukkerijen;
18.12.1;Drukkerijen van boeken e.d.;
18.12.2;Drukkerijen van tijdschriften ;
18.12.3;Drukkerijen van reclame;
18.12.4;Drukkerijen van verpakkingen;
18.12.5;Drukkerijen van formulieren;
18.12.9;Overige drukkerijen (rest) ;
18.13;Prepress- en premedia-activiteiten;
18.14;Grafische afwerking en overige activiteiten verwant aan de drukkerij ;
;;
18.2;Reproductie van opgenomen media;
18.20;Reproductie van opgenomen media;
;;
;;
19;Vervaardiging van cokesovenproducten en aardolieverwerking;
19.1;Vervaardiging van cokesovenproducten;
19.10;Vervaardiging van cokesovenproducten;
;;
19.2;Aardolieverwerking;
19.20;Aardolieverwerking;
19.20.1;Aardolieraffinage;
19.20.2;Aardolieverwerking (geen -raffinage);
;;
;;
20;Vervaardiging van chemische producten;
;;
