SBI;Omschrijving
0111;Teelt van granen, peulvruchten en oliehoudende zaden
0113;Teelt van groenten en wortel- en knolgewassen
0116;Teelt van vezelgewassen
0119;Teelt van overige eenjarige gewassen
0121;Druiventeelt
0124;Teelt van pit- en steenvruchten
0125;Teelt van overige boomvruchten, kleinfruit en noten
0127;Teelt van gewassen bestemd voor de vervaardiging van dranken
0128;Teelt van specerijgewassen en van aromatische en medicinale gewassen
0129;Teelt van overige  meerjarige gewassen
0130;Teelt van sierplanten
0141;Fokken en houden van melkvee
0142;Fokken en houden van runderen (geen melkvee)
0143;Fokken en houden van paarden en ezels
0145;Fokken en houden van schapen en geiten
0146;Fokken en houden van varkens
0147;Fokken en houden van pluimvee
0149;Fokken en houden van overige dieren
0150;Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren 
0161;Dienstverlening voor de akker- en/of tuinbouw 
0162;Dienstverlening voor het fokken en houden van dieren 
0163;Behandeling van  gewassen na de oogst
0164;Behandeling van zaden voor vermeerdering
0170;Jacht
0210;Bosbouw
0220;Exploitatie van bossen
0240;Dienstverlening voor de bosbouw
0311;Zee- en kustvisserij
0312;Binnenvisserij
0321;Kweken van zeevis en -schaaldieren
0322;Kweken van zoetwatervis en -schaaldieren
0610;Winning van aardolie
0620;Winning van aardgas
0812;Winning van zand, grind en klei
0892;Winning van turf 
0893;Winning van zout
0899;Winning van overige delfstoffen n.e.g.
0910;Dienstverlening voor de winning van aardolie en aardgas
0990;Dienstverlening voor de winning van delfstoffen (geen olie en gas)
1011;Slachterijen (geen pluimvee-)
1012;Pluimveeslachterijen
1013;Vleesverwerking (niet tot maaltijden)
1020;Visverwerking
1031;Vervaardiging van aardappelproducten
1032;Vervaardiging van fruit- en groentesap
1039;Verwerking van groente en fruit (niet tot sap en maaltijden)
1041;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)
1042;Vervaardiging van margarine en overige spijsvetten
1051;Vervaardiging van zuivelproducten (geen consumptie-ijs)
1052;Vervaardiging van consumptie-ijs
1061;Vervaardiging van meel (geen zetmeel)
1062;Vervaardiging van zetmeel en zetmeelproducten
1071;Vervaardiging van brood en vers banketbakkerswerk
1072;Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk
1073;Vervaardiging van deegwaren
1081;Vervaardiging van suiker
10821;Verwerking van cacao
10822;Vervaardiging van chocolade en suikerwerk
1083;Verwerking van koffie en thee
1084;"Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage"
1085;Vervaardiging van kant-en-klaarmaaltijden en snacks
1086;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
1089;Vervaardiging van overige voedingsmiddelen n.e.g.
1091;Vervaardiging van veevoeders
1092;Vervaardiging van voeders voor huisdieren
1101;Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen
1102;Vervaardiging van wijn uit druiven
1103;Vervaardiging van cider en van overige vruchtenwijnen
1104;Vervaardiging van overige niet-gedistilleerde gegiste dranken
1105;Vervaardiging van bier
1106;Mouterijen
1107;"Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water"
1200;Vervaardiging van tabaksproducten
1310;Bewerken en spinnen van textielvezels
1320;Weven van textiel
1330;Textielveredeling
1391;Vervaardiging van gebreide en gehaakte stoffen
1392;Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)
1393;Vervaardiging van vloerkleden en tapijt
1394;Vervaardiging van koord, bindgaren, touw en netten
1395;Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)
1396;Vervaardiging van technisch en industrieel textiel
1399;Vervaardiging van overige  textielproducten n.e.g.
1411;Vervaardiging van kleding van leer
1412;Vervaardiging van werkkleding
1413;Vervaardiging van overige  bovenkleding
1414;Vervaardiging van onderkleding
1419;Vervaardiging van baby- en sportkleding en kledingaccessoires
1420;Vervaardiging van artikelen van bont
1431;Vervaardiging van gebreide en gehaakte kousen en sokken
1439;Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)
1511;"Looien en bewerken van leer; bereiden en verven van bont"
1512;Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk
1520;Vervaardiging van schoenen
16101;Zagen en schaven en overige primaire houtbewerking
16102;Verduurzamen van hout
1621;Vervaardiging van fineer en plaatmateriaal op basis van hout
1622;Vervaardiging van panelen voor parketvloeren
16231;Vervaardiging van deuren, ramen en kozijnen van hout
16239;Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)
1624;Vervaardiging van houten emballage
1629;Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)
1711;Vervaardiging van papierpulp
17121;Vervaardiging van grafisch papier en karton
17122;Vervaardiging van papier en karton voor verpakking
17129;Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)
17211;Vervaardiging van verpakkingsmiddelen van papier en karton
17212;Vervaardiging van golfpapier en -karton
1722;Vervaardiging van huishoudelijke en sanitaire papierwaren
1723;Vervaardiging van kantoorbenodigdheden van papier
1724;Vervaardiging van behangselpapier
1729;Vervaardiging van overige papier- en kartonwaren 
1811;Drukkerijen van dagbladen
18121;Drukkerijen van boeken e.d.
18122;Drukkerijen van tijdschriften 
18123;Drukkerijen van reclame
18124;Drukkerijen van verpakkingen
18125;Drukkerijen van formulieren
18129;Overige drukkerijen n.e.g. 
1813;Prepress- en premedia-activiteiten
1814;Grafische afwerking en overige activiteiten verwant aan de drukkerij 
1820;Reproductie van opgenomen media
1910;Vervaardiging van cokesovenproducten
19201;Aardolieraffinage
19202;Aardolieverwerking (geen -raffinage)
2011;Vervaardiging van industriële gassen
2012;Vervaardiging van kleur- en verfstoffen
2013;Vervaardiging van overige anorganische basischemicaliën 
20141;Vervaardiging van petrochemische producten
20149;Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)
2015;Vervaardiging van kunstmeststoffen en stikstofverbindingen
2016;Vervaardiging van kunststof in primaire vorm
2017;Vervaardiging van synthetische rubber in primaire vorm
