"SBI_Code","SBI_Omschrijving","SBI_Code_6","SBI_Hoofd_Letter","SBI_Hoofd_Omschrijving"
"1","Landbouw, jacht en dienstverlening voor de landbouw en jacht ",10000,"A","Landbouw, bosbouw en visserij"
"11","Teelt van eenjarige gewassen",11000,"A","Landbouw, bosbouw en visserij"
"111","Teelt van granen, peulvruchten en oliehoudende zaden",11100,"A","Landbouw, bosbouw en visserij"
"113","Teelt van groenten en wortel- en knolgewassen",11300,"A","Landbouw, bosbouw en visserij"
"116","Teelt van vezelgewassen",11600,"A","Landbouw, bosbouw en visserij"
"119","Teelt van overige eenjarige gewassen",11900,"A","Landbouw, bosbouw en visserij"
"12","Teelt van meerjarige gewassen",12000,"A","Landbouw, bosbouw en visserij"
"121","Druiventeelt",12100,"A","Landbouw, bosbouw en visserij"
"124","Teelt van hardfruit en steenvruchten",12400,"A","Landbouw, bosbouw en visserij"
"125","Teelt van overige boomvruchten, kleinfruit en noten",12500,"A","Landbouw, bosbouw en visserij"
"127","Teelt van gewassen bestemd voor de vervaardiging van dranken",12700,"A","Landbouw, bosbouw en visserij"
"128","Teelt van specerijgewassen en van aromatische en medicinale gewassen",12800,"A","Landbouw, bosbouw en visserij"
"129","Teelt van overige  meerjarige gewassen",12900,"A","Landbouw, bosbouw en visserij"
"13","Teelt van sierplanten",13000,"A","Landbouw, bosbouw en visserij"
"130","Teelt van sierplanten",13000,"A","Landbouw, bosbouw en visserij"
"14","Fokken en houden van dieren",14000,"A","Landbouw, bosbouw en visserij"
"141","Fokken en houden van melkvee",14100,"A","Landbouw, bosbouw en visserij"
"142","Fokken en houden van runderen (geen melkvee)",14200,"A","Landbouw, bosbouw en visserij"
"143","Fokken en houden van paarden en ezels",14300,"A","Landbouw, bosbouw en visserij"
"145","Fokken en houden van schapen en geiten",14500,"A","Landbouw, bosbouw en visserij"
"146","Fokken en houden van varkens",14600,"A","Landbouw, bosbouw en visserij"
"147","Fokken en houden van pluimvee",14700,"A","Landbouw, bosbouw en visserij"
"149","Fokken en houden van overige dieren",14900,"A","Landbouw, bosbouw en visserij"
"15","Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ",15000,"A","Landbouw, bosbouw en visserij"
"150","Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ",15000,"A","Landbouw, bosbouw en visserij"
"16","Dienstverlening voor de landbouw; behandeling van gewassen en zaden na de oogst",16000,"A","Landbouw, bosbouw en visserij"
"161","Dienstverlening voor de akker- en/of tuinbouw ",16100,"A","Landbouw, bosbouw en visserij"
"162","Dienstverlening voor het fokken en houden van dieren ",16200,"A","Landbouw, bosbouw en visserij"
"163","Behandeling van  gewassen na de oogst",16300,"A","Landbouw, bosbouw en visserij"
"164","Behandeling van zaden voor vermeerdering",16400,"A","Landbouw, bosbouw en visserij"
"17","Jacht",17000,"A","Landbouw, bosbouw en visserij"
"170","Jacht",17000,"A","Landbouw, bosbouw en visserij"
"2","Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw",20000,"A","Landbouw, bosbouw en visserij"
"21","Bosbouw",21000,"A","Landbouw, bosbouw en visserij"
"210","Bosbouw",21000,"A","Landbouw, bosbouw en visserij"
"22","Exploitatie van bossen",22000,"A","Landbouw, bosbouw en visserij"
"220","Exploitatie van bossen",22000,"A","Landbouw, bosbouw en visserij"
"24","Dienstverlening voor de bosbouw",24000,"A","Landbouw, bosbouw en visserij"
"240","Dienstverlening voor de bosbouw",24000,"A","Landbouw, bosbouw en visserij"
"3","Visserij en kweken van vis en schaaldieren ",30000,"A","Landbouw, bosbouw en visserij"
"31","Visserij",31000,"A","Landbouw, bosbouw en visserij"
"311","Zee- en kustvisserij",31100,"A","Landbouw, bosbouw en visserij"
"312","Binnenvisserij",31200,"A","Landbouw, bosbouw en visserij"
"32","Kweken van vis en schaaldieren ",32000,"A","Landbouw, bosbouw en visserij"
"321","Kweken van zeevis en -schaaldieren",32100,"A","Landbouw, bosbouw en visserij"
"322","Kweken van zoetwatervis en -schaaldieren",32200,"A","Landbouw, bosbouw en visserij"
"6","Winning van aardolie en aardgas",60000,"B","Winning van delfstoffen "
"61","Winning van aardolie",61000,"B","Winning van delfstoffen "
"610","Winning van aardolie",61000,"B","Winning van delfstoffen "
"62","Winning van aardgas",62000,"B","Winning van delfstoffen "
"620","Winning van aardgas",62000,"B","Winning van delfstoffen "
"8","Winning van delfstoffen (geen olie en gas)",80000,"B","Winning van delfstoffen "
"81","Winning van zand, grind en klei",81000,"B","Winning van delfstoffen "
"812","Winning van zand, grind en klei",81200,"B","Winning van delfstoffen "
"89","Winning van overige delfstoffen",89000,"B","Winning van delfstoffen "
"892","Winning van turf ",89200,"B","Winning van delfstoffen "
"893","Winning van zout",89300,"B","Winning van delfstoffen "
"899","Winning van overige delfstoffen (rest)",89900,"B","Winning van delfstoffen "
"9","Dienstverlening voor de winning van delfstoffen ",90000,"B","Winning van delfstoffen "
"91","Dienstverlening voor de winning van aardolie en aardgas",91000,"B","Winning van delfstoffen "
"910","Dienstverlening voor de winning van aardolie en aardgas",91000,"B","Winning van delfstoffen "
"99","Dienstverlening voor de winning van delfstoffen (geen olie en gas)",99000,"B","Winning van delfstoffen "
"990","Dienstverlening voor de winning van delfstoffen (geen olie en gas)",99000,"B","Winning van delfstoffen "
"10","Vervaardiging van voedingsmiddelen",1e+05,"C","Industrie"
"101","Slachterijen en vleesverwerking",101000,"C","Industrie"
"1011","Slachterijen (geen pluimvee-)",101100,"C","Industrie"
"1012","Pluimveeslachterijen",101200,"C","Industrie"
"1013","Vleesverwerking (niet tot maaltijden)",101300,"C","Industrie"
"102","Visverwerking",102000,"C","Industrie"
"1020","Visverwerking",102000,"C","Industrie"
"103","Verwerking van aardappels, groente en fruit",103000,"C","Industrie"
"1031","Vervaardiging van aardappelproducten",103100,"C","Industrie"
"1032","Vervaardiging van fruit- en groentesap",103200,"C","Industrie"
"1039","Verwerking van groente en fruit (niet tot sap en maaltijden)",103900,"C","Industrie"
"104","Vervaardiging van plantaardige en dierlijke oliën en vetten ",104000,"C","Industrie"
"1041","Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)",104100,"C","Industrie"
"1042","Vervaardiging van margarine en overige spijsvetten",104200,"C","Industrie"
"105","Vervaardiging van zuivelproducten",105000,"C","Industrie"
"1051","Vervaardiging van zuivelproducten (geen consumptie-ijs)",105100,"C","Industrie"
"1052","Vervaardiging van consumptie-ijs",105200,"C","Industrie"
"106","Vervaardiging van meel",106000,"C","Industrie"
"1061","Vervaardiging van meel (geen zetmeel)",106100,"C","Industrie"
"1062","Vervaardiging van zetmeel en zetmeelproducten",106200,"C","Industrie"
"107","Vervaardiging van brood, banketbakkerswerk en deegwaren",107000,"C","Industrie"
"1071","Vervaardiging van brood en vers banketbakkerswerk",107100,"C","Industrie"
"1072","Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk",107200,"C","Industrie"
"1073","Vervaardiging van deegwaren",107300,"C","Industrie"
"108","Vervaardiging van overige voedingsmiddelen",108000,"C","Industrie"
"1081","Vervaardiging van suiker",108100,"C","Industrie"
"1082","Verwerking van cacao en vervaardiging van chocolade en suikerwerk",108200,"C","Industrie"
"10821","Verwerking van cacao",108210,"C","Industrie"
"10822","Vervaardiging van chocolade en suikerwerk",108220,"C","Industrie"
"1083","Verwerking van koffie en thee",108300,"C","Industrie"
"1084","Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage",108400,"C","Industrie"
"1085","Vervaardiging van kant-en-klaarmaaltijden en snacks",108500,"C","Industrie"
"1086","Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding",108600,"C","Industrie"
"1089","Vervaardiging van overige voedingsmiddelen (rest)",108900,"C","Industrie"
"109","Vervaardiging van diervoeders",109000,"C","Industrie"
"1091","Vervaardiging van veevoeders",109100,"C","Industrie"
"1092","Vervaardiging van voeders voor huisdieren",109200,"C","Industrie"
"11","Vervaardiging van dranken",110000,"C","Industrie"
"110","Vervaardiging van dranken",110000,"C","Industrie"
"1101","Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen",110100,"C","Industrie"
"1102","Vervaardiging van wijn uit druiven",110200,"C","Industrie"
"1103","Vervaardiging van cider en van overige vruchtenwijnen",110300,"C","Industrie"
"1104","Vervaardiging van overige niet-gedistilleerde gegiste dranken",110400,"C","Industrie"
"1105","Vervaardiging van bier",110500,"C","Industrie"
"1106","Mouterijen",110600,"C","Industrie"
"1107","Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water",110700,"C","Industrie"
"12","Vervaardiging van tabaksproducten",120000,"C","Industrie"
"120","Vervaardiging van tabaksproducten",120000,"C","Industrie"
"1200","Vervaardiging van tabaksproducten",120000,"C","Industrie"
"13","Vervaardiging van textiel",130000,"C","Industrie"
"131","Bewerken en spinnen van textielvezels",131000,"C","Industrie"
"1310","Bewerken en spinnen van textielvezels",131000,"C","Industrie"
"132","Weven van textiel",132000,"C","Industrie"
"1320","Weven van textiel",132000,"C","Industrie"
"133","Textielveredeling",133000,"C","Industrie"
"1330","Textielveredeling",133000,"C","Industrie"
"139","Vervaardiging van overige  textielproducten",139000,"C","Industrie"
"1391","Vervaardiging van gebreide en gehaakte stoffen",139100,"C","Industrie"
"1392","Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)",139200,"C","Industrie"
"1393","Vervaardiging van vloerkleden en tapijt",139300,"C","Industrie"
"1394","Vervaardiging van koord, bindgaren, touw en netten",139400,"C","Industrie"
"1395","Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)",139500,"C","Industrie"
"1396","Vervaardiging van technisch en industrieel textiel",139600,"C","Industrie"
"1399","Vervaardiging van overige  textielproducten (rest)",139900,"C","Industrie"
"14","Vervaardiging van kleding",140000,"C","Industrie"
"141","Vervaardiging van kleding (geen bontkleding)",141000,"C","Industrie"
"1411","Vervaardiging van kleding van leer",141100,"C","Industrie"
"1412","Vervaardiging van werkkleding",141200,"C","Industrie"
"1413","Vervaardiging van overige  bovenkleding",141300,"C","Industrie"
"1414","Vervaardiging van onderkleding",141400,"C","Industrie"
"1419","Vervaardiging van baby- en sportkleding en kledingaccessoires",141900,"C","Industrie"
"142","Vervaardiging van artikelen van bont",142000,"C","Industrie"
"1420","Vervaardiging van artikelen van bont",142000,"C","Industrie"
"143","Vervaardiging van gebreide en gehaakte kleding",143000,"C","Industrie"
"1431","Vervaardiging van gebreide en gehaakte kousen en sokken",143100,"C","Industrie"
"1439","Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)",143900,"C","Industrie"
"15","Vervaardiging van leer, lederwaren en schoenen",150000,"C","Industrie"
"151","Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden en verven van bont",151000,"C","Industrie"
"1511","Looien en bewerken van leer; bereiden en verven van bont",151100,"C","Industrie"
"1512","Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk",151200,"C","Industrie"
"152","Vervaardiging van schoenen",152000,"C","Industrie"
"1520","Vervaardiging van schoenen",152000,"C","Industrie"
"16","Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk ( geen meubels) ",160000,"C","Industrie"
"161","Primaire houtbewerking en verduurzamen van hout",161000,"C","Industrie"
"1610","Primaire houtbewerking en verduurzamen van hout",161000,"C","Industrie"
"16101","Zagen en schaven en overige primaire houtbewerking",161010,"C","Industrie"
"16102","Verduurzamen van hout",161020,"C","Industrie"
"162","Vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)",162000,"C","Industrie"
"1621","Vervaardiging van fineer en plaatmateriaal op basis van hout",162100,"C","Industrie"
